,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
2,52.0,아모레퍼시픽,134200.0,5100.0,+3.95%,500.0,78497.0,58493.0,28.14,326572.0,51.46,3.72,
3,53.0,삼성중공업,8650.0,90.0,+1.05%,1000.0,76120.0,880000.0,24.11,8019390.0,-51.49,-4.22,
4,54.0,KODEX 200,38080.0,105.0,+0.28%,0.0,73742.0,193650.0,24.09,3805264.0,,,
5,55.0,포스코DX,47550.0,600.0,-1.25%,500.0,72293.0,152035.0,6.11,671837.0,78.73,21.08,
9,56.0,SK바이오팜,89900.0,2100.0,-2.28%,500.0,70404.0,78313.0,9.87,114547.0,-214.05,-10.96,
10,57.0,TIGER CD금리투자KIS(합성),54070.0,0.0,0.00%,0.0,69602.0,128726.0,0.0,342366.0,,,
11,58.0,DB손해보험,95200.0,2000.0,+2.15%,500.0,67402.0,70800.0,47.28,185058.0,4.39,16.45,
12,59.0,금양,113900.0,4300.0,-3.64%,500.0,66119.0,58050.0,9.95,380415.0,-109.52,-38.52,
13,60.0,HD현대일렉트릭,182000.0,500.0,+0.28%,5000.0,65606.0,36047.0,27.48,457564.0,25.32,27.71,
17,61.0,한국타이어앤테크놀로지,52600.0,1700.0,-3.13%,500.0,65158.0,123875.0,40.85,242710.0,9.05,7.85,
18,62.0,현대글로비스,172900.0,2100.0,-1.20%,500.0,64838.0,37500.0,48.26,108038.0,6.11,14.52,
19,63.0,LG생활건강,401000.0,4000.0,-0.99%,5000.0,62629.0,15618.0,26.97,88330.0,49.77,2.65,
20,64.0,엘앤에프,168700.0,4300.0,-2.49%,500.0,61164.0,36256.0,20.81,274726.0,-31.4,-16.35,
21,65.0,유한양행,75700.0,3500.0,-4.42%,1000.0,60718.0,80209.0,20.5,988254.0,45.28,6.74,
25,66.0,맥쿼리인프라,12760.0,40.0,-0.31%,0.0,55606.0,435781.0,13.06,706206.0,,,
26,67.0,HD현대,70300.0,200.0,-0.28%,1000.0,55532.0,78993.0,16.68,144862.0,21.0,3.57,
27,68.0,KODEX KOFR금리액티브(합성),106320.0,10.0,+0.01%,0.0,53845.0,50644.0,0.0,330405.0,,,
28,69.0,두산로보틱스,81700.0,3200.0,-3.77%,500.0,52958.0,64820.0,1.65,694432.0,-272.33,-6.59,
29,70.0,넷마블,61600.0,2400.0,-3.75%,100.0,52947.0,85954.0,24.26,78034.0,-20.71,-4.9,
33,71.0,LG디스플레이,10550.0,280.0,-2.59%,5000.0,52750.0,500000.0,21.07,1767949.0,-1.53,-31.95,
34,72.0,롯데케미칼,123300.0,1200.0,-0.96%,5000.0,52742.0,42775.0,26.87,129158.0,-103.27,-0.33,
35,73.0,두산밥캣,52500.0,1300.0,-2.42%,500.0,52631.0,100249.0,40.59,184085.0,5.71,16.79,
