,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
37,225.0,DL,53300.0,400.0,-0.74%,5000.0,11169.0,20956.0,12.34,28677.0,-9.04,-3.44,
41,226.0,세방전지,76700.0,2000.0,-2.54%,500.0,10738.0,14000.0,27.66,83261.0,9.19,9.29,
42,227.0,SK케미칼,61900.0,900.0,-1.43%,5000.0,10680.0,17254.0,13.16,22161.0,30.08,1.87,
43,228.0,LX인터내셔널,26750.0,50.0,+0.19%,5000.0,10368.0,38760.0,19.78,174105.0,8.85,5.17,
44,229.0,코오롱인더,37650.0,450.0,-1.18%,5000.0,10361.0,27519.0,13.69,76538.0,26.66,1.58,
45,230.0,롯데렌탈,28100.0,500.0,+1.81%,5000.0,10294.0,36634.0,5.05,106495.0,8.58,9.01,
49,231.0,ACE 미국30년국채액티브(H),8500.0,160.0,-1.85%,0.0,10106.0,118900.0,0.01,4802292.0,,,
50,232.0,KODEX 미국S&P500TR,16055.0,75.0,-0.46%,0.0,9890.0,61600.0,0.0,3097895.0,,,
51,233.0,ESR켄달스퀘어리츠,4495.0,75.0,+1.70%,1000.0,9578.0,213089.0,44.79,525598.0,80.27,1.05,
52,234.0,세아제강지주,228000.0,4500.0,+2.01%,5000.0,9443.0,4142.0,9.76,5624.0,3.33,17.18,
53,235.0,하나투어,58700.0,2100.0,-3.45%,500.0,9415.0,16039.0,10.7,210681.0,20.02,32.03,
57,236.0,메리츠 KIS CD금리투자 ETN,51895.0,0.0,0.00%,0.0,9393.0,18100.0,0.0,3.0,,,
58,237.0,KODEX 코스닥150레버리지,12565.0,845.0,-6.30%,0.0,9361.0,74500.0,2.38,22571879.0,,,
59,238.0,대한유화,143000.0,5000.0,+3.62%,5000.0,9295.0,6500.0,7.77,74155.0,-32.01,-1.58,
60,239.0,일진전기,19400.0,460.0,-2.32%,1000.0,9251.0,47685.0,4.96,1967223.0,22.27,9.65,
61,240.0,다우기술,20600.0,0.0,0.00%,500.0,9243.0,44867.0,23.21,50230.0,4.09,9.35,
65,241.0,제주항공,11390.0,150.0,-1.30%,1000.0,9185.0,80641.0,3.96,155779.0,6.56,44.86,
66,242.0,ACE 미국S&P500,17890.0,85.0,-0.47%,0.0,9178.0,51300.0,0.64,441452.0,,,
67,243.0,오리온홀딩스,14280.0,0.0,0.00%,500.0,8946.0,62645.0,7.05,48010.0,10.45,3.93,
68,244.0,해성디에스,52500.0,300.0,-0.57%,5000.0,8925.0,17000.0,17.2,100681.0,10.57,17.55,
69,245.0,율촌화학,35950.0,350.0,+0.98%,500.0,8916.0,24800.0,5.1,116244.0,-46.69,-5.96,
73,246.0,일진하이솔루스,24550.0,150.0,-0.61%,500.0,8915.0,36313.0,3.21,28604.0,629.49,0.45,
74,247.0,더블유게임즈,41400.0,400.0,-0.96%,500.0,8899.0,21496.0,14.69,65592.0,5.99,18.62,
75,248.0,TIGER 24-12 금융채(AA-이상),50980.0,0.0,0.00%,0.0,8899.0,17456.0,0.0,2090.0,,,
76,249.0,롯데손해보험,2865.0,250.0,-8.03%,1000.0,8891.0,310336.0,0.88,2126849.0,6.37,-8.7,
77,250.0,DS단석,150100.0,2700.0,-1.77%,500.0,8798.0,5861.0,0.58,34770.0,18.87,19.2,
1,251.0,케이씨텍,41800.0,350.0,-0.83%,500.0,8720.0,20862.0,15.09,261143.0,27.5,7.22,
2,252.0,이노션,21700.0,0.0,0.00%,500.0,8680.0,40000.0,26.05,75721.0,8.53,11.56,
3,253.0,보령,12570.0,290.0,-2.26%,500.0,8634.0,68690.0,9.22,279687.0,21.49,7.55,
4,254.0,미원상사,181700.0,1800.0,+1.00%,500.0,8631.0,4750.0,2.79,763.0,14.43,16.95,
5,255.0,영풍,468000.0,2500.0,-0.53%,5000.0,8621.0,1842.0,4.37,666.0,-14.16,-1.58,
9,256.0,SK디스커버리,45350.0,1400.0,+3.19%,5000.0,8519.0,18786.0,12.23,78628.0,4.84,6.63,
10,257.0,한일시멘트,12300.0,0.0,0.00%,500.0,8519.0,69262.0,3.34,31861.0,5.01,11.21,
11,258.0,한세실업,21200.0,100.0,+0.47%,500.0,8480.0,40000.0,6.75,186805.0,7.57,18.98,
12,259.0,동양생명,5240.0,600.0,-10.27%,5000.0,8455.0,161359.0,83.19,891555.0,6.57,2.99,
13,260.0,경동나비엔,57600.0,4400.0,+8.27%,1000.0,8392.0,14569.0,11.25,220967.0,10.09,15.09,
17,261.0,SK오션플랜트,14120.0,50.0,-0.35%,500.0,8358.0,59196.0,5.41,371944.0,13.56,9.46,
18,262.0,아이에스동서,27650.0,600.0,-2.12%,500.0,8347.0,30187.0,6.27,60901.0,5.3,10.9,
19,263.0,GKL,13400.0,230.0,-1.69%,500.0,8289.0,61856.0,8.16,363862.0,18.9,11.04,
20,264.0,아시아나항공,11110.0,220.0,-1.94%,5000.0,8267.0,74412.0,7.19,170294.0,7.26,16.61,
21,265.0,명신산업,15690.0,90.0,-0.57%,500.0,8233.0,52470.0,6.72,176516.0,5.39,33.22,
25,266.0,넥센타이어,8390.0,10.0,+0.12%,500.0,8194.0,97668.0,6.39,91275.0,8.5,6.26,
26,267.0,TKG휴켐스,19910.0,0.0,0.00%,1000.0,8139.0,40879.0,7.97,34852.0,6.04,,
27,268.0,제이알글로벌리츠,4120.0,10.0,+0.24%,1000.0,8132.0,197376.0,9.33,352859.0,34.92,2.61,
28,269.0,한화엔진,9700.0,40.0,-0.41%,1000.0,8094.0,83447.0,4.57,248670.0,-1616.67,-0.19,
29,270.0,세아베스틸지주,22550.0,650.0,-2.80%,5000.0,8087.0,35862.0,9.78,120518.0,6.31,6.68,
33,271.0,녹십자홀딩스,17120.0,190.0,-1.10%,500.0,8051.0,47028.0,8.15,56545.0,-15.66,-5.37,
34,272.0,TIGER 200 IT,35800.0,260.0,+0.73%,0.0,8048.0,22480.0,0.07,97517.0,,,
35,273.0,NHN,23800.0,1000.0,-4.03%,500.0,8036.0,33766.0,11.5,85222.0,-97.94,-0.51,
36,274.0,KODEX 코스닥150,14730.0,480.0,-3.16%,0.0,8006.0,54350.0,4.51,6741156.0,,,
37,275.0,DN오토모티브,79800.0,1900.0,-2.33%,500.0,7975.0,9994.0,2.69,19214.0,2.9,27.29,
41,276.0,미래에셋생명,4490.0,45.0,-0.99%,5000.0,7948.0,177016.0,1.79,124179.0,5.19,3.56,
42,277.0,신풍제약,15000.0,1300.0,-7.98%,500.0,7948.0,52985.0,7.23,511899.0,-14.44,-19.13,
43,278.0,롯데리츠,3265.0,25.0,-0.76%,500.0,7933.0,242969.0,8.64,141132.0,251.15,0.29,
44,279.0,한화투자증권,3695.0,150.0,-3.90%,5000.0,7928.0,214548.0,6.47,2094791.0,87.98,0.59,
45,280.0,KODEX 반도체,43400.0,555.0,+1.30%,0.0,7834.0,18050.0,0.4,792571.0,,,
49,281.0,대신증권,15300.0,220.0,-1.42%,5000.0,7768.0,50773.0,11.27,120643.0,9.94,4.69,
50,282.0,태광산업,694000.0,21000.0,-2.94%,5000.0,7727.0,1113.0,5.66,3101.0,-41.76,-0.46,
51,283.0,JW중외제약,33050.0,200.0,-0.60%,2500.0,7696.0,23286.0,9.61,132646.0,22.24,14.63,
52,284.0,OCI,85500.0,600.0,-0.70%,5000.0,7687.0,8991.0,8.53,18556.0,8.14,,
53,285.0,LG전자우,44400.0,400.0,-0.89%,5000.0,7631.0,17186.0,41.32,34500.0,11.26,,
57,286.0,후성,8040.0,130.0,-1.59%,500.0,7586.0,94352.0,6.87,258447.0,-14.41,-15.89,
58,287.0,ACE 종합채권(AA-이상)KIS액티브,100320.0,270.0,-0.27%,0.0,7535.0,7511.0,0.0,4254.0,,,
59,288.0,동아쏘시오홀딩스,117000.0,2000.0,-1.68%,5000.0,7428.0,6349.0,14.92,5616.0,12.81,5.82,
60,289.0,KODEX 미국나스닥100TR,16450.0,40.0,-0.24%,0.0,7427.0,45150.0,0.06,265773.0,,,
61,290.0,ACE 미국나스닥100,18955.0,45.0,-0.24%,0.0,7411.0,39100.0,0.0,230397.0,,,
65,291.0,롯데관광개발,9670.0,670.0,-6.48%,500.0,7366.0,76171.0,5.56,2186185.0,-3.55,-132.87,
66,292.0,QV KIS CD금리투자 ETN,51890.0,0.0,0.00%,0.0,7265.0,14000.0,0.0,0.0,,,
67,293.0,진에어,13880.0,310.0,-2.18%,1000.0,7245.0,52200.0,3.84,243292.0,5.41,112.52,
68,294.0,TIGER Fn반도체TOP10,13770.0,140.0,+1.03%,0.0,7229.0,52500.0,0.19,5371739.0,,,
69,295.0,드림텍,10480.0,450.0,-4.12%,100.0,7216.0,68852.0,58.0,578834.0,46.17,3.74,
73,296.0,미원에스씨,143300.0,1300.0,+0.92%,500.0,7165.0,5000.0,0.46,982.0,38.93,4.95,
74,297.0,TIGER 2차전지소재Fn,7775.0,225.0,-2.81%,0.0,7161.0,92100.0,0.25,1605017.0,,,
75,298.0,KODEX 단기채권,109185.0,5.0,0.00%,0.0,7124.0,6525.0,0.07,17745.0,,,
76,299.0,쏘카,21700.0,200.0,+0.93%,100.0,7116.0,32791.0,1.07,55995.0,-16.8,-18.43,
77,300.0,TIGER 미국배당다우존스,11610.0,95.0,-0.81%,0.0,7094.0,61100.0,0.01,1440647.0,,,
1,301.0,KG스틸,7040.0,110.0,-1.54%,5000.0,7041.0,100009.0,5.51,155865.0,3.01,13.09,
2,302.0,삼성화재우,220500.0,500.0,+0.23%,500.0,7038.0,3192.0,29.44,18005.0,6.12,,
3,303.0,CJ CGV,5740.0,140.0,+2.50%,500.0,7028.0,122432.0,6.67,1091906.0,-4.82,-24.12,
4,304.0,TIGER 24-10 회사채(A+이상)액티브,54660.0,10.0,+0.02%,0.0,6927.0,12672.0,0.0,96610.0,,,
5,305.0,흥아해운,2875.0,235.0,+8.90%,500.0,6912.0,240425.0,0.98,16909648.0,20.25,23.02,
9,306.0,KODEX 인버스,4075.0,10.0,-0.24%,0.0,6862.0,168400.0,0.91,24378711.0,,,
10,307.0,대상,19720.0,40.0,-0.20%,1000.0,6833.0,34648.0,15.53,57201.0,10.59,5.11,
11,308.0,삼성 레버리지 WTI원유 선물 ETN,1688.0,38.0,+2.30%,0.0,6820.0,404000.0,0.0,289201.0,,,
12,309.0,KOSEF 200TR,47625.0,130.0,+0.27%,0.0,6787.0,14250.0,0.06,13089.0,,,
13,310.0,DI동일,27350.0,100.0,-0.36%,500.0,6766.0,24739.0,3.84,46770.0,224.18,0.55,
17,311.0,현대지에프홀딩스,4315.0,65.0,-1.48%,500.0,6727.0,155904.0,4.16,223396.0,0.39,49.81,
18,312.0,TIGER 단기통안채,106535.0,5.0,0.00%,0.0,6660.0,6251.0,1.9,4292.0,,,
19,313.0,PI첨단소재,22350.0,650.0,-2.83%,500.0,6563.0,29366.0,7.59,92887.0,-366.39,-0.55,
20,314.0,SNT모티브,44650.0,1250.0,-2.72%,5000.0,6529.0,14623.0,17.85,45715.0,7.51,9.55,
21,315.0,동원F&B,33800.0,50.0,-0.15%,1000.0,6522.0,19296.0,7.89,19196.0,5.99,11.72,
25,316.0,KCC글라스,40650.0,300.0,-0.73%,1000.0,6492.0,15971.0,10.28,20278.0,7.94,5.58,
26,317.0,현대홈쇼핑,53500.0,1900.0,+3.68%,5000.0,6420.0,12000.0,23.99,34273.0,4.71,6.78,
27,318.0,TIGER 단기채권액티브,53625.0,5.0,+0.01%,0.0,6404.0,11942.0,0.0,14953.0,,,
28,319.0,한국단자,61400.0,1500.0,-2.38%,500.0,6395.0,10415.0,24.06,46937.0,8.77,8.09,
29,320.0,쿠쿠홀딩스,17950.0,110.0,-0.61%,100.0,6383.0,35562.0,10.01,35270.0,4.91,12.72,
33,321.0,신세계인터내셔날,17750.0,520.0,-2.85%,1000.0,6337.0,35700.0,5.45,72514.0,16.17,4.67,
34,322.0,SOL 종합채권(AA-이상)액티브,106380.0,215.0,-0.20%,0.0,6332.0,5952.0,0.0,13.0,,,
35,323.0,ARIRANG 200,38895.0,130.0,+0.34%,0.0,6301.0,16200.0,3.13,142400.0,,,
36,324.0,애경케미칼,12800.0,390.0,-2.96%,500.0,6227.0,48649.0,1.38,276670.0,18.82,4.52,
37,325.0,동아에스티,72200.0,3500.0,-4.62%,5000.0,6220.0,8615.0,21.08,63000.0,57.03,1.67,
41,326.0,KODEX 자동차,20600.0,540.0,-2.55%,0.0,6211.0,30150.0,0.59,996877.0,,,
42,327.0,비에이치,17770.0,0.0,0.00%,500.0,6124.0,34464.0,10.48,350024.0,6.75,15.11,
43,328.0,케이카,12710.0,310.0,-2.38%,500.0,6124.0,48182.0,6.9,136084.0,21.54,11.8,
44,329.0,티웨이항공,2835.0,50.0,-1.73%,500.0,6106.0,215379.0,1.64,1527146.0,5.93,91.56,
45,330.0,QV 코스피 변동성 매칭형 양매도 ETN,8650.0,0.0,0.00%,0.0,6055.0,70000.0,0.0,0.0,,,
49,331.0,삼양홀딩스,70500.0,100.0,+0.14%,5000.0,6038.0,8564.0,8.8,5868.0,3.63,9.11,
50,332.0,TIGER 차이나항셍테크,5270.0,45.0,-0.85%,0.0,6037.0,114550.0,0.47,1723520.0,,,
51,333.0,NICE평가정보,10040.0,130.0,+1.31%,500.0,6035.0,60108.0,33.19,51394.0,10.87,15.76,
52,334.0,신영증권,63900.0,400.0,-0.62%,5000.0,6028.0,9434.0,7.55,2856.0,6.19,6.66,
53,335.0,F&F홀딩스,15400.0,300.0,-1.91%,500.0,6024.0,39114.0,0.23,12120.0,4.92,5.84,
57,336.0,대한해운,1885.0,10.0,+0.53%,500.0,6016.0,319177.0,6.88,2042872.0,8.81,4.36,
58,337.0,SNT다이내믹스,17820.0,10.0,+0.06%,2500.0,5926.0,33253.0,5.97,130481.0,11.97,7.29,
59,338.0,신한 레버리지 WTI원유 선물 ETN(H),1182.0,23.0,+1.98%,0.0,5910.0,500000.0,0.0,519260.0,,,
60,339.0,신한알파리츠,6640.0,120.0,+1.84%,1000.0,5850.0,88100.0,9.24,155101.0,7.6,13.98,
61,340.0,KOSEF 국고채10년,111230.0,510.0,-0.46%,0.0,5762.0,5180.0,0.0,42917.0,,,
65,341.0,TIGER 25-10 회사채(A+이상)액티브,52480.0,25.0,-0.05%,0.0,5733.0,10924.0,0.01,99919.0,,,
66,342.0,LS에코에너지,18710.0,280.0,-1.47%,500.0,5730.0,30625.0,2.99,465693.0,138.59,2.82,
67,343.0,교보증권,5010.0,40.0,-0.79%,5000.0,5710.0,113963.0,1.1,16141.0,6.04,3.93,
68,344.0,HANARO 200,38210.0,115.0,+0.30%,0.0,5674.0,14850.0,13.64,71580.0,,,
69,345.0,TIGER 1년은행양도성예금증서액티브(합성),1006210.0,95.0,+0.01%,0.0,5656.0,562.0,0.0,25889.0,,,
73,346.0,빙그레,57400.0,600.0,-1.03%,5000.0,5655.0,9851.0,22.43,40783.0,6.56,14.17,
74,347.0,동국제강,11310.0,70.0,-0.62%,5000.0,5611.0,49608.0,29.89,107564.0,2.31,,
75,348.0,한국카본,10770.0,30.0,-0.28%,500.0,5591.0,51908.0,3.24,199818.0,-36.76,-3.13,
76,349.0,롯데정보통신,36300.0,1300.0,-3.46%,5000.0,5589.0,15396.0,2.19,114072.0,13.31,9.98,
77,350.0,TIGER 미국달러단기채권액티브,11920.0,40.0,+0.34%,0.0,5556.0,46610.0,0.0,141299.0,,,
1,351.0,유니드,82000.0,500.0,-0.61%,5000.0,5549.0,6768.0,14.15,39414.0,34.12,1.8,
2,352.0,SK이터닉스,21650.0,4960.0,+29.72%,200.0,5534.0,25560.0,6.66,8507074.0,,,
3,353.0,자화전자,24650.0,350.0,-1.40%,500.0,5461.0,22156.0,8.48,120759.0,-21.83,-6.76,
4,354.0,엘브이엠씨홀딩스,3155.0,95.0,+3.10%,0.0,5414.0,171588.0,12.85,5081277.0,-7.75,-9.2,
5,355.0,삼양사,52200.0,500.0,-0.95%,5000.0,5384.0,10313.0,4.86,27934.0,5.22,7.58,
9,356.0,유안타증권,2685.0,15.0,-0.56%,5000.0,5359.0,199597.0,64.33,155533.0,8.86,4.08,
10,357.0,LX홀딩스,6980.0,10.0,+0.14%,1000.0,5324.0,76281.0,9.14,52162.0,6.88,4.82,
11,358.0,고려제강,21050.0,250.0,-1.17%,1000.0,5262.0,25000.0,7.55,58810.0,7.37,4.36,
12,359.0,KODEX 미국빅테크10(H),36590.0,110.0,-0.30%,0.0,5225.0,14280.0,0.0,329194.0,,,
13,360.0,KODEX MSCI Korea TR,12965.0,60.0,+0.46%,0.0,5199.0,40100.0,1.62,17827.0,,,
17,361.0,SPC삼립,60000.0,1100.0,+1.87%,5000.0,5177.0,8629.0,2.4,23771.0,10.31,12.43,
18,362.0,TIGER 24-04 회사채(A+이상)액티브,52115.0,5.0,+0.01%,0.0,5153.0,9888.0,0.0,18476.0,,,
19,363.0,프레스티지바이오파마,8550.0,320.0,-3.61%,0.0,5138.0,60096.0,63.15,44284.0,-11.16,3.99,
20,364.0,한화손해보험,4400.0,0.0,0.00%,5000.0,5137.0,116739.0,11.92,358485.0,2.51,27.68,
21,365.0,TIGER 미국배당+7%프리미엄다우존스,10500.0,85.0,-0.80%,0.0,5072.0,48300.0,0.61,1259663.0,,,
25,366.0,아세아,239500.0,500.0,+0.21%,5000.0,5067.0,2116.0,7.65,7393.0,5.54,9.06,
26,367.0,쿠쿠홈시스,22450.0,300.0,+1.35%,100.0,5037.0,22437.0,6.51,22634.0,4.5,14.85,
27,368.0,미래에셋증권2우B,3595.0,0.0,0.00%,5000.0,5033.0,140000.0,8.76,184842.0,8.36,,
28,369.0,서연이화,18320.0,680.0,-3.58%,500.0,4952.0,27028.0,9.58,208355.0,3.14,19.68,
29,370.0,SOL 미국배당다우존스,10645.0,85.0,-0.79%,0.0,4950.0,46500.0,0.16,622776.0,,,
33,371.0,HDC,8220.0,120.0,-1.44%,5000.0,4911.0,59742.0,18.01,86566.0,4.34,4.52,
34,372.0,KODEX 코스닥150선물인버스,3330.0,105.0,+3.26%,0.0,4888.0,146800.0,5.16,43955988.0,,,
35,373.0,SBS,26350.0,750.0,+2.93%,5000.0,4888.0,18551.0,0.0,101650.0,10.4,5.45,
36,374.0,애경산업,18450.0,60.0,-0.32%,1000.0,4873.0,26410.0,5.6,165232.0,9.99,13.08,
37,375.0,삼성 인버스 2X 천연가스 선물 ETN C,97395.0,11880.0,-10.87%,0.0,4870.0,5000.0,0.0,24992.0,,,
41,376.0,신성이엔지,2340.0,45.0,-1.89%,500.0,4817.0,205848.0,7.74,5674678.0,29.62,7.15,
42,377.0,한섬,19990.0,460.0,-2.25%,500.0,4677.0,23398.0,26.28,42498.0,5.87,6.14,
43,378.0,부광약품,6460.0,250.0,-3.73%,500.0,4591.0,71063.0,4.78,516654.0,-14.65,-12.8,
44,379.0,NICE,12210.0,140.0,-1.13%,500.0,4579.0,37503.0,13.52,18417.0,118.54,0.51,
45,380.0,ACE 200,38630.0,100.0,+0.26%,0.0,4578.0,11850.0,11.04,562474.0,,,
49,381.0,엠씨넥스,25200.0,600.0,-2.33%,500.0,4530.0,17978.0,9.43,67910.0,16.23,8.83,
50,382.0,KBSTAR 단기통안채,111125.0,15.0,+0.01%,0.0,4509.0,4058.0,0.0,37199.0,,,
51,383.0,코람코라이프인프라리츠,5050.0,30.0,-0.59%,500.0,4471.0,88534.0,1.65,83093.0,41.74,2.33,
52,384.0,E1,65100.0,200.0,+0.31%,5000.0,4466.0,6860.0,5.67,9190.0,2.09,13.9,
53,385.0,LF,15270.0,270.0,-1.74%,5000.0,4465.0,29240.0,15.75,75395.0,5.41,5.51,
57,386.0,신영증권우,63600.0,200.0,+0.32%,5000.0,4456.0,7006.0,6.16,227.0,6.16,,
58,387.0,화승엔터프라이즈,7330.0,150.0,-2.01%,500.0,4441.0,60589.0,3.44,181549.0,-16.89,-5.0,
59,388.0,KBSTAR 미국나스닥100,18315.0,45.0,-0.25%,0.0,4396.0,24000.0,0.01,208444.0,,,
60,389.0,일동제약,15600.0,290.0,-1.83%,1000.0,4378.0,28063.0,5.58,154084.0,-5.36,-43.75,
61,390.0,세아홀딩스,109100.0,3400.0,-3.02%,5000.0,4364.0,4000.0,0.52,244.0,5.32,3.89,
65,391.0,지역난방공사,37600.0,200.0,+0.53%,5000.0,4354.0,11579.0,0.99,27211.0,2.18,10.63,
66,392.0,KB스타리츠,4290.0,5.0,+0.12%,500.0,4351.0,101414.0,0.23,45825.0,-5.88,-12.09,
67,393.0,코리아써키트,18380.0,130.0,-0.70%,500.0,4341.0,23621.0,1.95,458270.0,-13.74,-8.05,
68,394.0,바이오노트,4185.0,125.0,-2.90%,500.0,4271.0,102056.0,0.27,125350.0,-20.82,-1.3,
69,395.0,한국철강,9960.0,320.0,+3.32%,1000.0,4228.0,42450.0,8.82,663654.0,6.2,8.26,
73,396.0,현대그린푸드,12400.0,240.0,+1.97%,500.0,4201.0,33881.0,9.97,113516.0,8.94,,
74,397.0,삼성SDI우,257000.0,2000.0,+0.78%,5000.0,4158.0,1618.0,19.46,3905.0,9.0,,
75,398.0,퍼시스,36000.0,100.0,-0.28%,1000.0,4140.0,11500.0,19.18,1167.0,6.19,13.33,
76,399.0,현대퓨처넷,3750.0,15.0,-0.40%,500.0,4133.0,110203.0,1.16,183223.0,-220.59,-0.25,
77,400.0,풍산홀딩스,28550.0,250.0,-0.87%,5000.0,4116.0,14417.0,13.87,63465.0,5.1,8.45,
1,401.0,TIGER 리츠부동산인프라,4540.0,10.0,-0.22%,0.0,4086.0,90000.0,0.05,1065734.0,,,
2,402.0,아세아제지,45450.0,450.0,+1.00%,5000.0,4071.0,8957.0,6.75,32061.0,5.02,9.8,
3,403.0,풀무원,10630.0,470.0,-4.23%,500.0,4052.0,38121.0,0.54,99246.0,21.26,5.35,
4,404.0,아모레퍼시픽우,38200.0,600.0,+1.60%,500.0,4033.0,10558.0,53.16,37572.0,14.65,,
5,405.0,맵스리얼티1,4330.0,50.0,-1.14%,0.0,4020.0,92834.0,2.64,106157.0,,,
9,406.0,유진투자증권,4135.0,75.0,-1.78%,5000.0,4005.0,96866.0,7.27,483243.0,13.04,3.09,
10,407.0,삼성FN리츠,5130.0,20.0,-0.39%,500.0,3965.0,77300.0,0.15,56825.0,855.0,,
11,408.0,신도리코,39300.0,300.0,-0.76%,5000.0,3961.0,10080.0,9.93,27688.0,7.2,5.65,
12,409.0,에이프로젠,1494.0,125.0,-7.72%,500.0,3957.0,264837.0,8.74,11751154.0,-6.92,-30.65,
13,410.0,KG케미칼,5770.0,100.0,-1.70%,1000.0,3951.0,68469.0,7.53,391405.0,4.16,11.06,
17,411.0,아세아시멘트,10260.0,70.0,-0.68%,500.0,3950.0,38502.0,5.42,34398.0,4.46,8.96,
18,412.0,제주은행,12240.0,110.0,+0.91%,5000.0,3933.0,32129.0,0.26,2998047.0,76.98,0.97,
19,413.0,한국자산신탁,3145.0,5.0,+0.16%,500.0,3899.0,123978.0,6.16,125335.0,3.01,13.18,
20,414.0,세진중공업,6850.0,420.0,+6.53%,500.0,3894.0,56849.0,1.7,1374501.0,22.76,9.92,
21,415.0,TIGER 미국채30년스트립액티브(합성 H),44115.0,1030.0,-2.28%,0.0,3883.0,8802.0,0.13,220503.0,,,
25,416.0,유나이티드제약,23900.0,500.0,-2.05%,500.0,3883.0,16245.0,6.88,40814.0,8.04,13.47,
26,417.0,세아제강,136100.0,1100.0,+0.81%,5000.0,3860.0,2836.0,11.1,6219.0,2.04,20.68,
27,418.0,영진약품,2105.0,70.0,-3.22%,500.0,3850.0,182893.0,3.14,355781.0,-100.24,-4.32,
28,419.0,남양유업,534000.0,22000.0,-3.96%,5000.0,3845.0,720.0,8.07,7385.0,-7.23,-9.48,
29,420.0,KODEX 국고채3년,59470.0,95.0,-0.16%,0.0,3842.0,6460.0,0.0,20895.0,,,
33,421.0,화신,11000.0,180.0,+1.66%,500.0,3841.0,34920.0,3.79,229187.0,4.97,19.27,
34,422.0,한일홀딩스,12440.0,20.0,+0.16%,1000.0,3836.0,30833.0,2.65,16028.0,3.68,7.12,
35,423.0,히어로즈 머니마켓액티브,50225.0,0.0,0.00%,0.0,3802.0,7570.0,0.0,44840.0,,,
36,424.0,TIGER 종합채권(AA-이상)액티브,52520.0,100.0,-0.19%,0.0,3800.0,7236.0,0.0,2818.0,,,
37,425.0,광동제약,7200.0,120.0,-1.64%,1000.0,3774.0,52421.0,20.49,279435.0,10.21,6.96,
41,426.0,미래에셋 레버리지 원유선물혼합 ETN(H),9185.0,160.0,+1.77%,0.0,3766.0,41000.0,0.0,20324.0,,,
42,427.0,KBSTAR KIS국고채30년Enhanced,71050.0,470.0,-0.66%,0.0,3759.0,5290.0,0.02,33779.0,,,
43,428.0,삼천리,92500.0,300.0,-0.32%,5000.0,3751.0,4055.0,7.71,11584.0,3.12,8.23,
44,429.0,한화리츠,5310.0,40.0,-0.75%,500.0,3749.0,70600.0,0.08,20729.0,,1.61,
45,430.0,SNT홀딩스,22750.0,600.0,-2.57%,500.0,3709.0,16304.0,10.95,40240.0,4.25,8.5,
49,431.0,대신증권우,14260.0,60.0,-0.42%,5000.0,3708.0,26000.0,11.02,46274.0,9.26,,
50,432.0,LG생활건강우,175500.0,2300.0,-1.29%,5000.0,3685.0,2100.0,55.17,10259.0,21.78,,
51,433.0,STX중공업,12900.0,950.0,+7.95%,2500.0,3683.0,28553.0,0.62,604165.0,11.64,15.16,
52,434.0,삼화콘덴서,35350.0,200.0,-0.56%,1000.0,3675.0,10395.0,5.33,83907.0,17.66,8.9,
53,435.0,KISCO홀딩스,22700.0,50.0,-0.22%,1000.0,3672.0,16176.0,5.59,19369.0,4.03,8.38,
57,436.0,KODEX 은행,8025.0,30.0,-0.37%,0.0,3659.0,45600.0,0.0,978093.0,,,
58,437.0,CJ4우(전환),86200.0,2500.0,-2.82%,5000.0,3643.0,4227.0,3.88,32603.0,15.78,,
59,438.0,LX하우시스,40500.0,350.0,+0.87%,5000.0,3632.0,8968.0,16.28,17943.0,6.55,7.66,
60,439.0,남해화학,7290.0,40.0,-0.55%,1000.0,3622.0,49679.0,3.86,89604.0,30.25,2.34,
61,440.0,LS네트웍스,4595.0,15.0,-0.33%,5000.0,3621.0,78803.0,0.38,1223665.0,33.79,1.92,
65,441.0,파미셀,6030.0,410.0,-6.37%,500.0,3619.0,60017.0,5.73,758940.0,100.5,4.56,
66,442.0,ACE 국고채10년,87500.0,360.0,-0.41%,0.0,3615.0,4131.0,0.01,4310.0,,,
67,443.0,KOSEF 200,38170.0,110.0,+0.29%,0.0,3569.0,9350.0,0.0,47772.0,,,
68,444.0,BGF,3720.0,80.0,-2.11%,1000.0,3561.0,95717.0,3.29,107088.0,4.58,4.81,
69,445.0,이아이디,1392.0,0.0,0.00%,200.0,3541.0,254384.0,2.13,0.0,-3.11,-49.27,
73,446.0,백광산업,7790.0,0.0,0.00%,500.0,3499.0,44918.0,1.85,0.0,45.29,3.65,
74,447.0,삼부토건,1708.0,31.0,-1.78%,1000.0,3489.0,204259.0,6.93,5304492.0,-3.35,-35.88,
75,448.0,ARIRANG 국고채10년액티브,52020.0,230.0,-0.44%,0.0,3479.0,6688.0,0.0,770.0,,,
76,449.0,KODEX 단기변동금리부채권액티브,110135.0,20.0,+0.02%,0.0,3457.0,3139.0,0.0,680.0,,,
77,450.0,대동,13480.0,320.0,-2.32%,1000.0,3456.0,25641.0,5.14,242273.0,19.62,4.41,
1,451.0,TIGER 2차전지TOP10,14085.0,205.0,-1.43%,0.0,3444.0,24450.0,0.61,1008646.0,,,
2,452.0,국도화학,37900.0,450.0,-1.17%,5000.0,3415.0,9011.0,18.45,7131.0,44.33,0.92,
